City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
403,Dvinskoy,RU,62.1535,45.1175,43.54,81,100,2.98,overcast clouds
404,Ciudad Bolivar,VE,8.1222,-63.5497,76.1,85,72,8.66,broken clouds
405,Bandarbeyla,SO,9.4942,50.8122,83.05,68,44,22.24,scattered clouds
406,Kawalu,ID,-7.3817,108.2082,81.54,65,99,5.17,overcast clouds
407,Kalmunai,LK,7.4167,81.8167,79.56,83,100,8.55,heavy intensity rain
408,The Valley,AI,18.217,-63.0578,84.06,72,14,22.79,few clouds
409,Tepetzintla,MX,21.1667,-97.8333,71.38,91,84,3.42,broken clouds
410,Kahului,US,20.8947,-156.47,77.02,85,75,17.27,broken clouds
411,Srandakan,ID,-7.9386,110.2506,81.84,64,62,9.91,broken clouds
412,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,81.45,54,55,5.08,broken clouds
413,Omsukchan,RU,62.5333,155.8,23.05,89,100,12.68,light snow
414,Tupik,RU,54.4253,119.9327,44.53,44,13,2.93,few clouds
415,Broome,US,42.2506,-75.833,65.55,80,90,1.99,overcast clouds
416,Kontagora,NG,10.3999,5.4695,72.43,91,69,2.59,broken clouds
417,Alghero,IT,40.5589,8.3181,66.29,82,38,5.75,scattered clouds
418,Bourail,NC,-21.5667,165.4833,78.49,65,40,12.5,scattered clouds
419,Aswan,EG,24.0934,32.907,70.9,49,0,9.22,clear sky
420,Mathathane,BW,-22.2687,28.7495,63.77,73,99,14.0,overcast clouds
421,Touros,BR,-5.1989,-35.4608,74.3,83,19,12.48,few clouds
422,Saint Anthony,US,45.0205,-93.218,58.71,90,1,0.0,mist
423,Kamaishi,JP,39.2667,141.8833,83.35,58,32,10.0,scattered clouds
424,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,3.44,clear sky
425,West Richland,US,46.3043,-119.3614,66.29,58,1,0.0,clear sky
426,Maldonado,UY,-34.6667,-54.9167,55.22,77,43,3.51,scattered clouds
427,Namatanai,PG,-3.6667,152.4333,85.46,67,99,6.11,light rain
428,Dakar,SN,14.6937,-17.4441,79.68,81,83,8.77,broken clouds
429,Yerbogachen,RU,61.2767,108.0108,41.25,60,96,8.99,overcast clouds
430,Powell River,CA,49.8496,-124.5361,53.6,76,97,2.28,overcast clouds
431,Iranshahr,IR,27.2025,60.6848,84.54,20,0,4.61,clear sky
432,Saint George,US,37.1041,-113.5841,77.47,29,1,4.0,clear sky
433,Maracacume,BR,-2.0428,-45.9592,71.76,96,2,3.62,clear sky
434,Yanam,IN,16.7333,82.2167,90.0,57,20,3.13,few clouds
435,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,91,93,5.79,overcast clouds
436,Itoman,JP,26.1247,127.6694,88.57,67,40,18.41,scattered clouds
437,Guane,CU,22.2025,-84.0875,74.95,89,44,6.38,scattered clouds
438,Roma,US,43.2128,-75.4557,64.89,95,90,8.05,moderate rain
439,Kavieng,PG,-2.5744,150.7967,84.06,69,100,7.74,overcast clouds
440,Muli,MV,2.9167,73.5667,84.07,74,7,15.52,clear sky
441,Vohibinany,MG,-17.35,49.0333,68.95,94,94,1.12,light rain
442,Bambanglipuro,ID,-7.95,110.2833,82.02,63,63,10.18,broken clouds
443,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,76.26,77,39,2.37,scattered clouds
444,Mitsamiouli,KM,-11.3847,43.2844,79.09,69,40,6.91,scattered clouds
445,Vostok,RU,46.4856,135.8833,40.82,94,100,4.52,overcast clouds
446,Greeley,US,40.4233,-104.7091,63.64,40,1,0.0,clear sky
447,Lorengau,PG,-2.0226,147.2712,86.09,61,58,7.47,broken clouds
448,Manchester,GB,53.4809,-2.2374,49.95,92,37,5.75,scattered clouds
449,Charters Towers,AU,-20.1,146.2667,100.24,11,1,1.74,clear sky
450,Lobito,AO,-12.3481,13.5456,69.93,84,38,1.25,scattered clouds
451,Esperance,AU,-33.8667,121.9,67.84,42,0,8.28,clear sky
452,Boueni,YT,-12.9025,45.0761,82.38,73,67,5.5,broken clouds
453,Kosonsoy,UZ,41.2561,71.5508,52.36,39,1,5.86,clear sky
454,Sangar,RU,63.9242,127.4739,39.9,53,67,11.45,broken clouds
455,Maniitsoq,GL,65.4167,-52.9,37.6,66,21,6.31,few clouds
456,Brezno,SK,48.8043,19.6363,52.52,76,5,3.76,clear sky
457,Muborak,UZ,39.2553,65.1528,62.51,20,0,12.17,clear sky
458,Parker,US,32.7668,-97.8003,70.79,62,38,4.74,scattered clouds
459,Jackson,US,42.4165,-122.8345,69.67,62,1,0.0,clear sky
460,Takaka,NZ,-40.85,172.8,61.97,94,100,5.08,overcast clouds
461,Martapura,ID,-3.4167,114.85,80.69,78,40,5.75,moderate rain
462,Gizo,SB,-8.103,156.8419,83.8,74,67,10.45,broken clouds
463,Hervey Bay,AU,-25.2986,152.8535,82.04,86,3,23.78,clear sky
464,Moyale,KE,3.5167,39.0584,68.99,72,67,9.33,broken clouds
465,Syamzha,RU,60.0158,41.0614,41.59,90,79,2.82,broken clouds
466,Riyadh,SA,24.6877,46.7219,82.45,15,0,0.0,clear sky
467,Phetchaburi,TH,12.9667,99.5833,86.11,63,87,4.14,overcast clouds
468,Bhanpuri,IN,21.1,80.9167,86.31,67,13,3.83,few clouds
469,Terryville,US,40.909,-73.0651,70.47,89,90,5.99,overcast clouds
470,San Luis,AR,-33.295,-66.3356,49.77,30,0,7.18,clear sky
471,Karpogory,RU,64.0019,44.4451,40.96,91,87,5.17,overcast clouds
472,Lyuban,BY,52.7985,28.0048,42.85,74,86,9.42,overcast clouds
473,Olinda,BR,-8.0089,-34.8553,78.53,73,40,8.05,scattered clouds
474,Coihaique,CL,-45.5752,-72.0662,42.75,81,100,5.75,light rain
475,Tahoua,NE,14.8888,5.2692,83.23,42,0,6.11,clear sky
476,Oeiras Do Para,BR,-2.0031,-49.8544,74.23,90,56,3.62,broken clouds
477,Arcachon,FR,44.5875,-1.0519,53.65,94,40,6.91,scattered clouds
478,Maceio,BR,-9.6658,-35.7353,74.64,94,0,2.3,clear sky
479,Myitkyina,MM,25.3833,97.4,81.0,83,100,1.43,overcast clouds
480,Mount Pleasant,US,32.7941,-79.8626,73.0,96,1,0.0,clear sky
481,Lasa,IT,46.6166,10.7002,58.08,98,100,6.04,overcast clouds
482,Ust-Tsilma,RU,65.441,52.1498,41.49,89,100,6.2,overcast clouds
483,Atambua,ID,-9.1061,124.8925,85.68,51,4,6.2,clear sky
484,Sabancuy,MX,18.9667,-91.1833,80.02,83,36,10.67,scattered clouds
485,Summerland,CA,49.5998,-119.6691,58.59,49,40,8.05,scattered clouds
486,Laje,BR,-10.1833,-40.9667,69.13,64,0,6.17,clear sky
487,Zhanakorgan,KZ,43.9098,67.2495,58.35,32,4,6.35,clear sky
488,Tura,IN,25.5198,90.2201,80.62,85,24,3.96,few clouds
489,Kez,RU,57.8979,53.7152,37.63,62,61,3.31,broken clouds
490,Garden City,US,42.3256,-83.331,67.26,97,90,5.75,thunderstorm
491,Ibra,OM,22.6906,58.5334,80.38,65,100,3.53,overcast clouds
492,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.55,71,68,4.16,broken clouds
493,Kununurra,AU,-15.7667,128.7333,102.18,12,7,5.75,clear sky
494,Voh,NC,-20.9667,164.7,80.1,65,34,10.36,scattered clouds
495,Portland,US,45.5234,-122.6762,60.78,86,20,1.01,few clouds
496,Ayan,RU,56.45,138.1667,44.35,44,20,18.12,few clouds
497,Hobyo,SO,5.3505,48.5268,81.46,75,84,14.45,broken clouds
498,Zyryanka,RU,65.75,150.85,32.23,58,93,13.42,overcast clouds
499,Gravdal,NO,68.1214,13.5031,60.69,63,75,25.32,moderate rain
500,Amapa,BR,1.0,-52.0,69.85,92,38,1.5,scattered clouds
501,Galesong,ID,-5.3166,119.3661,87.82,63,35,13.85,scattered clouds
502,Yar-Sale,RU,66.8333,70.8333,34.3,69,100,14.25,overcast clouds
503,Byron Bay,AU,-28.65,153.6167,93.31,43,5,12.59,clear sky
504,Tamiahua,MX,21.2667,-97.45,75.38,88,69,3.18,broken clouds
505,Igarka,RU,67.4667,86.5833,26.56,82,95,4.59,overcast clouds
506,Chenghai,CN,23.4632,116.768,89.51,48,20,6.71,few clouds
507,Abha,SA,18.2164,42.5053,62.42,55,0,0.0,clear sky
508,Gasa,PS,31.5,34.4667,71.58,63,10,4.25,clear sky
509,Jamshedpur,IN,22.8,86.1833,82.22,78,75,2.3,haze
510,Lavrentiya,RU,65.5833,-171.0,28.15,78,34,4.99,scattered clouds
511,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,65,40,21.85,scattered clouds
512,Kotel,BG,42.8833,26.45,42.35,90,1,0.36,clear sky
513,Marabba,SD,12.35,32.1833,77.65,72,99,14.52,overcast clouds
514,George,ZA,-33.963,22.4617,45.95,93,20,8.05,few clouds
515,Yazoo City,US,32.8551,-90.4056,74.1,86,81,0.58,broken clouds
516,Himeji,JP,34.8167,134.7,85.95,62,22,5.97,few clouds
517,Brae,GB,60.3964,-1.353,51.71,82,94,25.08,overcast clouds
518,Dongsheng,CN,39.8161,109.9776,48.83,42,100,16.89,heavy intensity rain
519,De Aar,ZA,-30.6497,24.0123,42.1,62,0,11.7,clear sky
520,Miramar,US,25.9873,-80.2323,81.01,74,1,4.61,clear sky
521,Kyaikkami,MM,16.08,97.5675,83.19,75,64,2.95,broken clouds
522,Canyon,US,34.9803,-101.9188,63.52,62,21,9.15,few clouds
523,Santa Maria,BR,-29.6842,-53.8069,55.15,74,98,5.21,overcast clouds
524,Havelock,US,34.8791,-76.9013,75.94,78,80,6.38,broken clouds
525,Kirakira,SB,-10.4544,161.9205,82.56,79,87,4.47,overcast clouds
526,Standish,US,43.9831,-83.9589,66.31,98,100,8.9,moderate rain
527,Valparaiso,CL,-33.0393,-71.6273,51.44,71,0,0.0,clear sky
528,Pontes E Lacerda,BR,-15.2261,-59.3353,77.68,64,63,1.57,broken clouds
529,Destin,US,30.3935,-86.4958,78.76,84,40,0.0,scattered clouds
530,Zhigansk,RU,66.7697,123.3711,32.29,68,98,5.03,overcast clouds
531,Nyurba,RU,63.2842,118.3319,41.61,55,45,7.65,scattered clouds
532,Lagoa,PT,39.05,-27.9833,70.48,91,12,8.84,few clouds
533,Honiara,SB,-9.4333,159.95,82.69,82,80,3.33,heavy intensity rain
534,Gisborne,NZ,-38.6533,178.0042,66.94,88,100,8.1,light rain
535,San Borja,BO,-14.8167,-66.85,79.2,61,46,2.04,scattered clouds
536,Craig,US,40.5153,-107.5464,53.55,65,1,0.0,clear sky
537,Nelson Bay,AU,-32.7167,152.15,83.28,43,0,19.66,clear sky
538,Zemio,CF,5.0314,25.1361,68.92,90,81,1.23,broken clouds
539,Mocuba,MZ,-16.8392,36.9856,81.99,45,0,3.87,clear sky
540,Kushmurun,KZ,52.4503,64.6311,36.52,65,43,16.55,scattered clouds
541,Trairi,BR,-3.2778,-39.2689,78.75,77,15,13.82,few clouds
542,Bella Union,UY,-30.2752,-57.6007,46.98,69,49,7.67,scattered clouds
543,Roswell,US,34.0232,-84.3616,69.58,95,90,0.0,overcast clouds
544,Gambela,ET,8.25,34.5833,72.79,93,74,2.95,broken clouds
545,Ascension,US,30.2169,-90.9001,77.0,97,40,0.0,scattered clouds
546,Punto Fijo,VE,11.6956,-70.1996,82.11,78,40,24.67,scattered clouds
547,Benghazi,LY,32.1167,20.0667,70.48,64,0,5.86,clear sky
