City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Ajdabiya,LY,2021-10-03 20:09:33,30.7554,20.2263,73.02,55,0,8.19
232,Benguela,AO,2021-10-03 20:09:33,-12.5763,13.4055,71.92,80,93,3.24
233,Diego De Almagro,CL,2021-10-03 20:09:33,-26.3667,-70.05,74.97,12,2,12.35
234,Egvekinot,RU,2021-10-03 20:09:34,66.3167,-179.1667,26.17,97,100,3.67
235,Isangel,VU,2021-10-03 20:09:34,-19.55,169.2667,76.96,85,3,5.12
236,Sao Joao Da Barra,BR,2021-10-03 20:09:34,-21.6403,-41.0511,78.89,79,2,21.5
237,Saint George,US,2021-10-03 20:09:35,37.1041,-113.5841,90.07,20,1,1.01
238,Te Anau,NZ,2021-10-03 20:09:35,-45.4167,167.7167,45.55,98,100,2.55
239,Clyde River,CA,2021-10-03 20:09:35,70.4692,-68.5914,37.22,82,86,2.75
240,Mantua,IT,2021-10-03 20:09:36,45.1667,10.7833,70.7,82,87,4.0
241,Vila Franca Do Campo,PT,2021-10-03 20:09:36,37.7167,-25.4333,74.19,85,99,3.87
242,Provideniya,RU,2021-10-03 20:09:36,64.3833,-173.3,30.31,74,75,4.47
243,Cassilandia,BR,2021-10-03 20:09:37,-19.1133,-51.7342,94.41,29,84,10.94
244,Plettenberg Bay,ZA,2021-10-03 20:05:24,-34.0527,23.3716,51.39,81,23,7.36
245,Belen,TR,2021-10-03 20:09:37,36.4891,36.2233,67.03,60,0,6.91
246,Saint-Georges,GD,2021-10-03 20:09:38,12.0564,-61.7485,87.48,70,20,20.71
247,Matara,LK,2021-10-03 20:09:38,5.9485,80.5353,77.67,89,77,7.92
248,Alice Springs,AU,2021-10-03 20:09:38,-23.7,133.8833,53.15,47,0,0.0
249,Qurayyat,SA,2021-10-03 20:09:39,31.3318,37.3428,71.56,56,0,13.94
250,Basco,PH,2021-10-03 20:05:42,20.4487,121.9702,84.13,76,97,23.44
251,Gannan,CN,2021-10-03 20:09:39,47.9147,123.5031,39.4,80,90,5.46
252,Dalbandin,PK,2021-10-03 20:09:40,28.8947,64.4101,72.0,17,62,4.85
253,Port Lincoln,AU,2021-10-03 20:09:40,-34.7333,135.8667,52.54,63,58,26.11
254,Burnie,AU,2021-10-03 20:09:40,-41.0667,145.9167,55.92,96,100,8.1
255,Lasa,IT,2021-10-03 20:09:41,46.6166,10.7002,58.03,97,92,5.48
